Licensee Name,License Number,Licence Status,Email,Phone,WhatsApp,Skype ID,Domain Names,Full Address,Game Types
Best Gaming Technology Gmbh,MGA/B2B/302/2015,Surrendered,office@best-gaming.com,+43 1 581 03 50-0,+43 1 581 03 50-0,,,"Diefenbachgasse 35 Stiege 1 Top 7-9 1150 Wien (Vienna), Austria, , , Austria","Type 1 Gaming Service, Type 2 Gaming Service"
Bestbet Limited,MGA/B2C/234/2013,Licensed,info@bestbet.com,99460901,99460901,,Http://Www.Optibet.Com,"120 The Strand, Unit 6, Triq Ix-Xatt,, Gzira, Gzr1027, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Bestplay Gaming Limited,MGA/B2C/212/2011,Licensed,Invalid Email,,,,,"17 Triq In-Nassab, Qormi, Qrm3542, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bet 90 Sports Limited,MGA/B2C/265/2014,Surrendered,Invalid Email,,,,,"Regus, Tower Business Centre 2Nd Floor, Tower Street, Swatar, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bet Entertainment Technologies Limited,MGA/B2C/654/2018,Surrendered,Invalid Email,,,,Http://Www.Vivagol.Com,"68, Tower Road,, Sliema, Slm 1606, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bet Service Group Limited,MGA/B2C/344/2016,Cancelled,Invalid Email,,,,,"Level 3 (Suite No. 2093) Tower Business Centre Tower Street, Swatar, Birkirkara, Bkr4013, Malta",Type 2 Gaming Service
Bet Studios Limited,MGA/B2B/794/2020,Surrendered,info@betstudios.com,+356 21239669,+356 21239669,,,"Office 4, Block B, Skyway Offices Marina Street, Pieta', Pta 9042, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Betago Limited,MGA/B2C/355/2016,Cancelled,info@betago.com,99821268,99821268,,"Http://Www.Betagoslots.Com, Http://Www.Betagoslots.De, Http://Www.Jokerplayarena.De, Http://Www.Betago.Com","62 Wilga Street, St. Julians, Stj 3117, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bet-At-Home.Com Entertainment Limited,MGA/B2C/173/2004,Surrendered,office@bet-at-home.com,0035620102552,0035620102552,,,"Portomaso Business Tower, Level 12 The Business Tower Portomaso, St Julians, Stj 4011, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Bet-At-Home.Com Internet Limited,MGA/CRP/278/2004,Licensed,Invalid Email,,,,Https://Www.Bet-At-Home.De,"Cornerstone Business Centre, Level 2, Suite 1, 16Th September Square,, Mosta, Mst 1180, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Betbull Games Limited,MGA/B2C/629/2018,Surrendered,Invalid Email,,,,"Http://Mt.Betbull.Com, Http://Betbull.Com","Elite Business Centre, Trejqa Ta' Box Box,, Msida, Msd 1840, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Betdino Limited,MGA/B2C/276/2014,Cancelled,info@betdino.com,,,,,"Abacus Business Centre, Level 1 Dun Karm Street, Birkirkara Bypass, Birkirkara, , Malta",Type 2 Gaming Service
Betelephant Limited,MGA/B2C/161/2008,Surrendered,Invalid Email,,,,,"Greystone Court, Block A, Flat 7 Klarissi Street, St Julians, , Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bethard Group Limited,MGA/B2C/312/2015,Surrendered,Invalid Email,,,,,"Mezzanine Office, The George Ball Street, Paceville, St Julian’S, Stj 3123, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 4 Gaming Service"
Betixx Limited,MGA/B2C/247/2013,Cancelled,Invalid Email,,,,,"Suite A Triq Mater Boni Consilii, Paola, Pla 1610, Malta",Type 2 Gaming Service
Betolio P.L.C.,MGA/B2C/226/2012,Expired,info@betolio.com,+35625496000,+35625496000,,,"Level 1, Suite 5, Tower Business Centre Tower Street, Birkirkara - Swatar, Bkr 4013, Malta",Type 3 Gaming Service
Betomall Limited,MGA/B2C/270/2014,Surrendered,general@betzest.com,20161010,20161010,,Http://Www.Betzest.Com,"Business Box, 115A, Floor 5, Valley Road,, Birkirkara, Bkr9024, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Betsson Platform Solutions Limited,MGA/B2B/194/2010,Licensed,cs-info@betssongroup.com,+35622603300,+35622603300,,,"Betsson Experience Centre Ta' Xbiex Seafront, Ta' Xbiex, Xbx 1027, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Betway Limited,MGA/B2C/130/2006,Licensed,info@cybergamingconsultants.com,21319493,21319493,,"Http://Www.Hippodromeonline.Com, Http://Www.Betway.Com, Http://Www.Botbcasino.Com, Https://Www.Betwayarabia.Com","9 Empire Stadium Str, Gzira, Gzr 1300, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Beyondplay Gaming Holding Ltd.,MGA/CRP/957/2022,Licensed,jacqui@beyondplay.io,99116254,99116254,,,"Soho The Strand, Fawwara Building Triq L-Imsida, Gzira, Gzr1401, Malta",Type 1 Gaming Service
Bib Limited,MGA/B2C/343/2016,Cancelled,Info@betitbest.com,+49 89 203006361,+49 89 203006361,,,"Office 2, Suite 2, The Penthouse, Capital Business Centre, Entrance C Triq Taz-Zwejt, San Gwaan, Sgn3000, Malta",Type 3 Gaming Service
Billion Games Ltd,MGA/B2B/556/2018,Surrendered,Invalid Email,,,,,"Terraces No 1, The Penthouse Suite, Triq Il-Kannizzata,, Balzan, Bzn 1701, Malta",Type 1 Gaming Service
Bimbabet Limited,MGA/B2C/385/2017,Cancelled,Invalid Email,,,,,"Vincenti Buildings,28/19 (Suite 1959) Strait Street, Valletta, Vlt1432, Malta",Type 3 Gaming Service
Bingo Limited,MGA/B2C/179/2011,Licensed,Invalid Email,,,,,"Mainstreet Complex, Level 3, Antoine De Paule Square,, Paola, Pla 1262, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Bitsurf Consulting Limited,MGA/B2B/614/2018,Licensed,Invalid Email,,,,,"Parthenon Building Hughes Hallet Street, Sliema, Slm 3141, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Blackberry Limited,MGA/B2C/288/2014,Surrendered,info@blackberrylimited.com,21370043,21370043,,,"Floor 5 , 115 A Valley Road, Msida, Bkr9024, Malta",Type 1 Gaming Service
Blackberry Software Limited,MGA/B2B/497/2018,Licensed,info@blackberrylimited.com,99827009,99827009,,,"Mk Business Centre, 115A, Level 2, Valley Road, Msida, Bkr9029, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
Blc Systems Limited,MGA/B2B/738/2019,Licensed,office@betterlore.com,2206 1110,2206 1110,,,"The Plaza Business Centre, Level 6, Offices 7 & 8, Bisazza Street,, Sliema, Slm 1640, Malta",Type 1 Gaming Service
Blubet Operations Ltd.,MGA/B2C/855/2020,Surrendered,info@blubetgroup.com,99641098,99641098,,,"W Business Centre, Level 4 Triq Dun Karm, Birkirkara, Bkr 9033, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Blue Guru Games Limited,MGA/B2B/1037/2023,Licensed,halvor.dahl@bluegurugames.ocm,99092695,99092695,,,"Level 7, The Plaza Business Centre Bisazza Street, Sliema, Slm 1640, Malta",Type 1 Gaming Service
Blue Ribbon Software Malta Limited,MGA/B2B/462/2018,Surrendered,AMIR@BLUERBN.COM,,,,,"Level G (Office 1/2866), Quantum House 75, Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta",
Blueprint Technologies (Malta) Ltd,MGA/B2B/684/2019,Licensed,info@blueprintgaming.com,1636343355,1636343355,,,"No. 2 Geraldu Farrugia Street, Zebbug, Zbg 4351, Malta",Type 1 Gaming Service
Bm Solutions Limited,MGA/B2C/771/2019,Licensed,Invalid Email,,,,"Https://Www.Mix4Bet.Ie, Http://Betfree.Io/, Https://Bongo.Io/, Https://Www.Betmaster.Ie, Https://Www.Betmaster.Com, Https://Casinoin.Ie/, Https://Axwin.Ie","The Edge Court, Office 2, Guze Duca Street, Office 2, Guze Duca Street,, Qormi, Qrm 9088, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
Bml Group Limited,MGA/CRP/108/2004,Licensed,cs-info@betssongroup.com,+356 22603300,+356 22603300,,"Https://Www.Nordicautomaten.Com, Http://Www.Betsson.Com, Http://Www.Nordicbet.Com, Http://Www.Eurocasino.Com, Http://Www.Casinoeuro.Com, Http://Www.Betsafe.Com, Http://Www.Liveroulette.Com, Http://Www.Loyalcasino.Com, Http://Www.Casinowinner.Com, Http://Www.Racebets.Com, Http://Www.Gutsxpress.Com, Http://Www.Rizk.Com, Http://Www.Guts.Com, Http://Www.Kaboo.Com, Http://Www.Thrills.Com, Http://Www.Supercasino.Com, Http://Www.Jackpot247.Com, Https://Www.Betsson.Com, Https://Www.Betsafe.Com, Https://Www.Casinoeuro.Com, Https://Www.Nordicbet.Com, Https://Www.Inkabet.Pe","Betsson Experience Centre Ta' Xbiex Seafront, Ta' Xbiex, Xbx 1027, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Boa Solutions Limited,MGA/B2B/474/2018,Surrendered,Invalid Email,,,,Http://Www.Boa-Gaming.Com,"Ggx003E Xewkija Industrial Estate, Xewkija (Gozo), , Malta",Type 2 Gaming Service
Booming Games (Malta) Limited,MGA/B2B/459/2018,Licensed,legal@booming-games.com,99591614,99591614,,Https://Booming-Games.Com,"Q3, Level 5, Unit 2 Quad Central, Central Business District, Birkirkara, Cbd1020, Malta",Type 1 Gaming Service
Boss Development Ltd,MGA/B2C/470/2018,Surrendered,info@bossgs.com,79705544,79705544,,"Http://Www.Bosscasino.Com, Https://Www.Bootleggercasino.Com, Http://Www.Betnero.Com","Soho Offices, Savoy Gardens, J Block Rue D'Argens Street, Gzira, Gzr 1362, Malta",Type 1 Gaming Service
Bp Group Limited,MGA/B2C/203/2011,Licensed,Invalid Email,,,,"Https://Www.Xlbet.Com, Http://Www.Rapidcasino.Com, Http://Www.21.Com, Http://Www.Justspin.Com, Http://Www.Nitrocasino.Com, Http://Www.Neonvegas.Com, Http://Www.Ultracasino.Com, Https://Www.Vauhdikas.Com","9, The Ferries Business Centre, Guza Fava Street C/W Bisazza Street, Sliema, Slm 1632, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Broadway Gaming Limited,MGA/B2C/184/2010,Surrendered,Invalid Email,,,,,"Po Box 227 Peveril Buildings, Peveril Square, Douglas, Im99 1Rz, Isle Of Man (Uk)","Type 1 Gaming Service, Type 3 Gaming Service"
Bsupporter Limited,MGA/B2C/461/2017,Cancelled,contact@bsupporter.com,+356 2010 2050,+356 2010 2050,,,"'Arch Building', No 2A Triq L-Imdina, Zebbug, , Malta",Type 3 Gaming Service
B-Tech International Limited,MGA/B2B/334/2016,Surrendered,Invalid Email,,,,Http://Www.Bingo-Boom.Mt,"89/1 Tigne Street, Sliema, , Malta",Type 1 Gaming Service
Btm Entertainment Group Limited,MGA/B2C/350/2016,Cancelled,info@btmentertainmentgroup.com,+35625496000,+35625496000,,,"Ewropa Business Centre, Level3- Suite 701 Dun Karm Street, Birkirkara, Bkr9034, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Buddybet Malta Limited,MGA/B2C/898/2021,Licensed,Invalid Email,,,,Https://Www.Buddybet.Com,"Elite Business Centre, Trejqa Ta' Box Box, Msida, Msd 1840, Malta",Type 3 Gaming Service
Bulex Enterprises (Malta) Limited,MGA/B2C/707/2019,Licensed,Invalid Email,,,,Https://Www.Phoeniciancasino.Eu,"8, Villa Seminia, Suite 1, Sir Temi Zammit Avenue, Ta Xbiex, Xbx 1011, Malta",Type 1 Gaming Service
Bullseye Limited,MGA/B2C/407/2017,Surrendered,Invalid Email,,,,,"No.2 Geraldu Farrugia Street, Zebbug, Zbg4351,",Type 2 Gaming Service
Bv (Germany) Limited,MGA/B2C/819/2020,Surrendered,Legal@betvictor.de,7824551837,7824551837,,Https://Betvictor.De,"Level G, (Office 1/1445), Quantum House, 75, Abate Rigord Street,, Ta' Xbiex,, Xbx 1120, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Bwin Holdings (Malta) Limited,MGA/CRP/688/2019,Licensed,entainmalta@entaingroup.com,+356 79999156,+356 79999156,,"Http://Bwin.Com, Http://Foxybingo.Com, Http://Gamebookers.Com, Http://Partycasino.Com, Http://Partypoker.Com, Http://Premium.Com, Http://Sportingbet.Com","Entain, Level 6, St Business Centre, 120, The Strand,, Gzira, Gzr 1027, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Bwin.Party Services (Malta) Limited,MGA/B2B/244/2013,Licensed,entainmalta@entaingroup.com,79999156,79999156,,,"Entain, Unit 6 St Business Centre 120 The Strand, Gzira, Gzr 1027, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Caleta Malta Limited,MGA/B2B/1006/2023,Licensed,legal@caletagaming.com,21345010,21345010,,Https://Www.Caletagaming.Com,"Nouv, Mro Frank Galea Street,, Zebbug,, Zbg 9019, Malta",Type 1 Gaming Service
Carranza Trading Limited,MGA/B2C/674/2019,Surrendered,info@carouselgroup.net,+34 914965367,+34 914965367,,"Https://Www.Maximbet.Com/, Http://Www.Racebook.Com, Http://Www.Sportsbetting.Com","Level 3 (Suite No. 2173) Tower Business Centre, Tower Street,, Swatar, Birkirkara,, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Cashpoint Malta Limited,MGA/B2C/114/2005,Licensed,office@cashpoint.com,21322311,21322311,,,"Level 3, St Julians Business Centre Elija Zammit Street, St Julians, Stj 3155, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 4 Gaming Service"
Cashpoint Solutions Malta Ltd,MGA/B2B/902/2021,Temporary Non Operative,Invalid Email,,,,,"172, Level 1, Triq Salvu Psaila, Birkirkara, Bkr 9077, Malta",Type 2 Gaming Service
Casino Malta Limited,MGA/B2C/273/2014,Licensed,casinomalta@oc.eu,23710575,23710575,,Http://Casinomalta.Com.Mt/,"Eden Place, St Augustine Street, St Julians, Stj3310, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Casinova Software Limited,MGA/B2B/396/2017,Surrendered,Invalid Email,,,,,"14 Triq Il-Wied Ta' Rmiedi, Attard, , Malta",Type 1 Gaming Service
Casumo Games Limited,MGA/B2B/440/2017,Surrendered,casumogames@casumo.com,,,,,"Unicorn Centre Triq L-Uqija, Swieqi, Swq 2335, Malta",Type 1 Gaming Service
Chilling Cheetah Limited,MGA/B2C/739/2019,Temporary Non Operative,info@chillingcheetah.com,27033893,27033893,,,"14 East Level 5, Triq Tas-Sliema, Gzira, Gzr1639, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Circle Three Ltd,MGA/B2C/427/2017,Surrendered,Invalid Email,,,,,"23, Office 2, Triq Giuseppe Calleja, Swatar, Msida, Msd 2270, Malta",Type 3 Gaming Service
Claymore Malta Limited,MGA/B2C/748/2019,Licensed,finance@ibet.com,79600120,79600120,,"Https://Www.Arcticcasino.Com, Https://Www.Ibet.Com","Level 3 (Suite No. 3333) Tower Business Centre, Birkirkara, Bkr4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Clobet Ltd,MGA/B2C/762/2019,Licensed,legal@clobet.com,27782748,27782748,,Http://Www.Lottofy.Com,"The Strand - Fawwara Building Triq I-Imsida, Gzira, Gzr 1401, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Codere Online Management Services Limited,MGA/B2B/611/2018,Surrendered,Invalid Email,22605000,22605000,,,"Level 3 (Suite No. 2265), Tower Business Centre Tower Street, Swatar, Birkirkara, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Codere Online Operator Limited,MGA/B2C/613/2018,Surrendered,gonzalo.deosma@codere.com,22605000,22605000,,,"Level 3 (Suite No. 2266), Tower Business Centre Tower Street, Swatar, Birkirkara, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Co-Gaming Limited,MGA/CRP/178/2009,Licensed,support@comeon.com,+356 2276 6000,+356 2276 6000,,"Http://Www.Comeon.Com, Http://Www.Casinostugan.Com, Http://Www.Snabbare.Com, Http://Www.Hajper.Com, Http://Www.Comeonwetten.De, Http://Www.Mobilebet.De, Http://Www.Sunmaker.Com, Http://Www.Sunnyplayer.Com, Http://Www.Sunmaker.De, Http://Www.Sunnyplayer-Slots.De, Http://Www.Mobilebet.Com, Http://Www.Galaksino.Com, Http://Www.Cherrycasino.Com, Http://Www.Nopeampi.Com, Http://Www.Suomikasino.Com, Http://Www.Norgesspill.Com, Http://Www.Getlucky.Com, Http://Www.Folkeriket.Com, Https://Sagakingdom.Com, Http://Www.Mobilautomaten.Com, Https://Mobilespin.Com, Https://Dingcasino.Com","3Rd Floor, Spinola Park, Triq Mikiel Ang Borg,, St.Julians, Spk 1000, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Commologic Malta Limited,MGA/B2B/324/2016,Surrendered,info@commologic.com,+97297676800,+97297676800,,,"Apartment 21, Charles Court Suite 165 St.Luke'S Road, Pieta, Pta 1027, Malta",Type 3 Gaming Service
Condor Malta Limited,MGA/B2C/340/2016,Licensed,support@condor-gaming.com,,,,"Http://Pedalada10.Com, Http://Pedalada10.Com.Br, Https://Www.Tournaverse.Com, Https://Www.Gambeta10.Com, Https://Www.B-Bets.Cl, Https://Www.Sirjohn.Com, Http://Luckybull.Com","13, 'Paolo Court' Ground Floor,, Giuseppe Cali Street, Ta' Xbiex, Tbx 1423, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
